ID Único;Cliente;Modelo;Fecha;Video Path;Grifo;Ciclo #;Hora Inicio;Hora Fin;Duración (s);Cervezas;Tamaño (ml);Espuma (%);Mala Praxis;Causas Error;Clip Path;URL Video
CProyectosgamboozaSinremediosSevillavideosdias20260102SinremediosSevilla0020260102181934mp4_MANUAL_mkpw43i1;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;40;20:33:03;20:33:14;11;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_075.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_075.mp4?alt=media
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_8081951;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;41;20:34:15;20:34:26;11;1;400;;MP-7: Tap opened before glass;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_076.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_076.mp4?alt=media
CProyectosgamboozaSinremediosSevillavideosdias20260102SinremediosSevilla0020260102181934mp4_MANUAL_mkpw4tmo;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;42;20:34:15;20:34:26;11;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_076.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_076.mp4?alt=media
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_8463948;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;43;20:40:37;20:40:51;14;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_077.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_077.mp4?alt=media
CProyectosgamboozaSinremediosSevillavideosdias20260102SinremediosSevilla0020260102181934mp4_MANUAL_mkpw5fko;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;44;20:40:37;20:40:51;14;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_077.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_077.mp4?alt=media
CProyectosgamboozaSinremediosSevillavideosdias20260102SinremediosSevilla0020260102181934mp4_MANUAL_mkpw5j0f;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;45;20:40:37;20:40:51;14;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_077.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_077.mp4?alt=media
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_8707947;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;46;20:44:41;20:44:48;6;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_078.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_078.mp4?alt=media
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_8900446_S1;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;47;20:47:54;20:48:01;7;1;400;;MP-7: Tap opened before glass;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_079.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_079.mp4?alt=media
Sin remedios Sevilla_00_20260102181934.mp4_Cruzcampo_8900446_S2;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;48;20:47:54;20:48:01;7;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_079.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_079.mp4?alt=media
CProyectosgamboozaSinremediosSevillavideosdias20260102SinremediosSevilla0020260102181934mp4_MANUAL_mkpwfrnf;SinRemedios;SinRemedios_model_v1.pt;2026-01-02;C:\Proyectos gambooza\Sinremedios_Sevilla_videos_dias\2026-01-02\Sin remedios Sevilla_00_20260102181934.mp4;Cruzcampo;49;20:47:54;20:48:01;7;1;400;;;;clips/SinRemedios/20260102/SinRemedios_20260102181934_Cruzcampo_evt_079.mp4;https://firebasestorage.googleapis.com/v0/b/gambooza-v2-ia/o/clips%2FSinRemedios%2F20260102%2FSinRemedios_20260102181934_Cruzcampo_evt_079.mp4?alt=media
